fold,slice_file_name,class_name
비명데이터셋,scream (16).wav,비명
비명데이터셋,scream (235).wav,비명
비명데이터셋,scream (17).wav,비명
비명데이터셋,scream (18).wav,비명
비명데이터셋,scream (236).wav,비명
비명데이터셋,scream (19).wav,비명
비명데이터셋,scream (237).wav,비명
비명데이터셋,scream (352).wav,비명
비명데이터셋,scream (238).wav,비명
비명데이터셋,scream (240).wav,비명
비명데이터셋,scream (239).wav,비명
비명데이터셋,scream (2).wav,비명
비명데이터셋,scream (353).wav,비명
비명데이터셋,scream (3).wav,비명
비명데이터셋,scream (4).wav,비명
비명데이터셋,scream (241).wav,비명
비명데이터셋,scream (243).wav,비명
비명데이터셋,scream (5).wav,비명
비명데이터셋,scream (242).wav,비명
비명데이터셋,scream (6).wav,비명
비명데이터셋,scream (7).wav,비명
비명데이터셋,scream (245).wav,비명
비명데이터셋,scream (244).wav,비명
비명데이터셋,scream (246).wav,비명
비명데이터셋,scream (8).wav,비명
비명데이터셋,scream (9).wav,비명
비명데이터셋,scream (247).wav,비명
비명데이터셋,scream (10).wav,비명
비명데이터셋,scream (248).wav,비명
비명데이터셋,scream (11).wav,비명
비명데이터셋,scream (249).wav,비명
비명데이터셋,scream (250).wav,비명
비명데이터셋,scream (12).wav,비명
비명데이터셋,scream (13).wav,비명
비명데이터셋,scream (251).wav,비명
비명데이터셋,scream (252).wav,비명
비명데이터셋,scream (14).wav,비명
비명데이터셋,scream (253).wav,비명
비명데이터셋,scream (15).wav,비명
비명데이터셋,scream (254).wav,비명
비명데이터셋,scream (255).wav,비명
비명데이터셋,scream (256).wav,비명
비명데이터셋,scream (257).wav,비명
비명데이터셋,scream (259).wav,비명
비명데이터셋,scream (260).wav,비명
비명데이터셋,scream (258).wav,비명
비명데이터셋,scream (262).wav,비명
비명데이터셋,scream (263).wav,비명
비명데이터셋,scream (261).wav,비명
비명데이터셋,scream (265).wav,비명
비명데이터셋,scream (264).wav,비명
비명데이터셋,scream (266).wav,비명
비명데이터셋,scream (269).wav,비명
비명데이터셋,scream (267).wav,비명
비명데이터셋,scream (268).wav,비명
비명데이터셋,scream (272).wav,비명
비명데이터셋,scream (271).wav,비명
비명데이터셋,scream (270).wav,비명
비명데이터셋,scream (276).wav,비명
비명데이터셋,scream (273).wav,비명
비명데이터셋,scream (274).wav,비명
비명데이터셋,scream (275).wav,비명
비명데이터셋,scream (278).wav,비명
비명데이터셋,scream (279).wav,비명
비명데이터셋,scream (277).wav,비명
비명데이터셋,scream (283).wav,비명
비명데이터셋,scream (281).wav,비명
비명데이터셋,scream (280).wav,비명
비명데이터셋,scream (282).wav,비명
비명데이터셋,scream (287).wav,비명
비명데이터셋,scream (284).wav,비명
비명데이터셋,scream (285).wav,비명
비명데이터셋,scream (286).wav,비명
비명데이터셋,scream (289).wav,비명
비명데이터셋,scream (290).wav,비명
비명데이터셋,scream (288).wav,비명
비명데이터셋,scream (292).wav,비명
비명데이터셋,scream (291).wav,비명
비명데이터셋,scream (293).wav,비명
비명데이터셋,scream (295).wav,비명
비명데이터셋,scream (296).wav,비명
비명데이터셋,scream (294).wav,비명
비명데이터셋,scream (299).wav,비명
비명데이터셋,scream (301).wav,비명
비명데이터셋,scream (297).wav,비명
비명데이터셋,scream (300).wav,비명
비명데이터셋,scream (298).wav,비명
비명데이터셋,scream (303).wav,비명
비명데이터셋,scream (305).wav,비명
비명데이터셋,scream (302).wav,비명
비명데이터셋,scream (304).wav,비명
비명데이터셋,scream (306).wav,비명
비명데이터셋,scream (309).wav,비명
비명데이터셋,scream (307).wav,비명
비명데이터셋,scream (308).wav,비명
비명데이터셋,scream (312).wav,비명
비명데이터셋,scream (311).wav,비명
비명데이터셋,scream (310).wav,비명
비명데이터셋,scream (313).wav,비명
비명데이터셋,scream (314).wav,비명
비명데이터셋,scream (316).wav,비명
비명데이터셋,scream (315).wav,비명
비명데이터셋,scream (320).wav,비명
비명데이터셋,scream (317).wav,비명
비명데이터셋,scream (319).wav,비명
비명데이터셋,scream (318).wav,비명
비명데이터셋,scream (323).wav,비명
비명데이터셋,scream (322).wav,비명
비명데이터셋,scream (321).wav,비명
비명데이터셋,scream (326).wav,비명
비명데이터셋,scream (327).wav,비명
비명데이터셋,scream (325).wav,비명
비명데이터셋,scream (324).wav,비명
비명데이터셋,scream (331).wav,비명
비명데이터셋,scream (328).wav,비명
비명데이터셋,scream (329).wav,비명
비명데이터셋,scream (330).wav,비명
